latitude,longitude,brightness,scan,track,acquisition_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,confidence_raw,acquisition_time,distance_to_industry,nearest_industry,industry_type,industrial_association,classification,risk_score,risk_level
22.37667,87.27975,338.08,0.53,0.42,2026-08-22,703,N21,VIIRS,70.0,2.0NRT,293.11,8.72,D,n,0703,91.51,Fallback_0082,mining,DISTANT,WILDFIRE,60,MEDIUM
9.90945,78.20588,336.58,0.52,0.41,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,302.09,12.59,D,n,0822,328.9,Fallback_0071,chemical,NONE,WILDFIRE,60,MEDIUM
8.81339,80.80691,335.76,0.41,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,298.56,10.49,D,n,0803,447.69,Fallback_0065,refinery,NONE,WILDFIRE,60,MEDIUM
22.21468,84.8694,334.29,0.39,0.36,2026-08-26,729,N21,VIIRS,70.0,2.0NRT,293.07,5.23,D,n,0729,84.75,Fallback_0073,steel_mill,DISTANT,WILDFIRE,60,MEDIUM
21.10038,72.63611,334.04,0.61,0.71,2026-08-26,731,N21,VIIRS,70.0,2.0NRT,287.11,6.31,D,n,0731,70.05,Fallback_0012,lng_terminal,DISTANT,WILDFIRE,60,MEDIUM
23.66378,87.15511,333.81,0.51,0.41,2026-08-22,703,N21,VIIRS,70.0,2.0NRT,295.92,6.29,D,n,0703,94.46,Fallback_0044,steel_mill,DISTANT,WILDFIRE,60,MEDIUM
21.1071,72.6448,333.63,0.45,0.39,2026-08-24,2036,N21,VIIRS,70.0,2.0NRT,286.64,5.21,N,n,2036,68.97,Fallback_0012,lng_terminal,DISTANT,WILDFIRE,60,MEDIUM
8.07689,80.77808,333.51,0.47,0.48,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,296.44,14.89,D,n,0822,527.57,Fallback_0065,refinery,NONE,WILDFIRE,60,MEDIUM
21.10355,72.64426,333.39,0.45,0.39,2026-08-24,2036,N21,VIIRS,70.0,2.0NRT,286.73,5.21,N,n,2036,69.36,Fallback_0012,lng_terminal,DISTANT,WILDFIRE,60,MEDIUM
9.45457,80.4912,333.31,0.62,0.54,2026-08-26,726,N21,VIIRS,70.0,2.0NRT,292.57,16.03,D,n,0726,371.59,Fallback_0065,refinery,NONE,WILDFIRE,60,MEDIUM
8.47969,80.36192,332.81,0.33,0.55,2026-08-26,726,N21,VIIRS,70.0,2.0NRT,284.05,10.08,D,n,0726,477.58,Fallback_0065,refinery,NONE,WILDFIRE,60,MEDIUM
21.10633,72.64521,332.78,0.55,0.68,2026-08-26,909,N21,VIIRS,70.0,2.0NRT,288.69,6.43,D,n,0909,69.03,Fallback_0012,lng_terminal,DISTANT,WILDFIRE,60,MEDIUM
23.67692,86.3983,332.68,0.56,0.43,2026-08-22,703,N21,VIIRS,70.0,2.0NRT,294.29,7.84,D,n,0703,87.06,Fallback_0074,lng_terminal,DISTANT,WILDFIRE,60,MEDIUM
21.10424,72.64529,332.55,0.55,0.68,2026-08-26,909,N21,VIIRS,70.0,2.0NRT,288.95,7.18,D,n,0909,69.24,Fallback_0012,lng_terminal,DISTANT,WILDFIRE,60,MEDIUM
27.96467,96.95645,331.24,0.41,0.37,2026-08-23,646,N21,VIIRS,70.0,2.0NRT,296.94,10.19,D,n,0646,1118.15,Fallback_0062,power_plant,NONE,WILDFIRE,60,MEDIUM
22.37735,87.28273,330.92,0.53,0.42,2026-08-22,703,N21,VIIRS,70.0,2.0NRT,293.4,9.32,D,n,0703,91.2,Fallback_0082,mining,DISTANT,WILDFIRE,60,MEDIUM
22.37782,87.28007,329.41,0.45,0.63,2026-08-24,2034,N21,VIIRS,70.0,2.0NRT,288.78,6.44,N,n,2034,91.4,Fallback_0082,mining,DISTANT,WILDFIRE,60,MEDIUM
29.45525,76.87004,329.19,0.49,0.65,2026-08-22,845,N21,VIIRS,70.0,2.0NRT,292.01,9.06,D,n,0845,91.53,Fallback_0003,chemical,DISTANT,WILDFIRE,60,MEDIUM
21.37453,81.64227,309.0,0.39,0.36,2026-08-25,2017,N21,VIIRS,70.0,2.0NRT,289.59,2.78,N,n,2017,9.73,Fallback_0056,lng_terminal,NEARBY,INDUSTRIAL_FIRE,60,MEDIUM
21.37116,81.68417,308.19,0.39,0.36,2026-08-25,2017,N21,VIIRS,70.0,2.0NRT,289.83,2.32,N,n,2017,6.36,Fallback_0056,lng_terminal,NEARBY,INDUSTRIAL_FIRE,60,MEDIUM
8.48021,80.36486,355.46,0.33,0.55,2026-08-26,726,N21,VIIRS,30.0,2.0NRT,283.93,10.44,D,l,0726,477.55,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
11.74077,78.97653,347.16,0.36,0.57,2026-08-26,726,N21,VIIRS,70.0,2.0NRT,294.02,3.99,D,n,0726,162.26,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
8.90419,77.86017,346.76,0.48,0.4,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,303.21,3.82,D,n,0822,436.04,Fallback_0071,chemical,NONE,WILDFIRE,55,MEDIUM
8.68311,80.93121,344.63,0.49,0.49,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,293.36,3.79,D,n,0822,464.7,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
8.47044,80.168,340.86,0.43,0.46,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,291.64,3.56,D,n,0822,477.36,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
25.20672,96.44746,340.53,0.39,0.44,2026-08-22,703,N21,VIIRS,70.0,2.0NRT,294.88,4.54,D,n,0703,935.68,Fallback_0062,power_plant,NONE,WILDFIRE,55,MEDIUM
9.56224,80.35896,340.34,0.4,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,301.52,3.19,D,n,0803,357.91,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
27.43514,70.78793,340.31,0.4,0.44,2026-08-22,845,N21,VIIRS,70.0,2.0NRT,305.64,3.19,D,n,0845,517.7,Fallback_0068,lng_terminal,NONE,WILDFIRE,55,MEDIUM
22.34392,69.86665,339.9,0.43,0.46,2026-08-24,2036,N21,VIIRS,70.0,2.0NRT,293.84,7.01,N,n,2036,313.66,Fallback_0087,power_plant,NONE,WILDFIRE,55,MEDIUM
30.46405,71.92369,339.0,0.43,0.46,2026-08-25,750,N21,VIIRS,70.0,2.0NRT,300.42,6.25,D,n,0750,568.21,Fallback_0032,power_plant,NONE,WILDFIRE,55,MEDIUM
29.89989,72.12016,338.87,0.51,0.49,2026-08-22,845,N21,VIIRS,70.0,2.0NRT,300.04,7.01,D,n,0845,511.21,Fallback_0032,power_plant,NONE,WILDFIRE,55,MEDIUM
30.34867,74.23013,338.78,0.6,0.53,2026-08-26,731,N21,VIIRS,70.0,2.0NRT,299.85,6.85,D,n,0731,371.72,Fallback_0079,chemical,NONE,WILDFIRE,55,MEDIUM
8.75407,80.1897,338.42,0.44,0.46,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,297.04,8.47,D,n,0822,446.0,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
8.69059,80.75645,338.22,0.48,0.48,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,295.36,5.01,D,n,0822,460.03,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
30.5789,72.26801,338.12,0.45,0.39,2026-08-23,828,N21,VIIRS,70.0,2.0NRT,298.76,6.69,D,n,0828,549.34,Fallback_0032,power_plant,NONE,WILDFIRE,55,MEDIUM
22.92903,70.10583,337.17,0.39,0.36,2026-08-23,826,N21,VIIRS,70.0,2.0NRT,303.9,7.97,D,n,0826,277.16,Fallback_0068,lng_terminal,NONE,WILDFIRE,55,MEDIUM
8.65625,80.78227,336.92,0.4,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,301.02,6.63,D,n,0803,464.3,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
24.86393,68.06441,336.8,0.5,0.49,2026-08-24,807,N21,VIIRS,70.0,2.0NRT,300.52,5.36,D,n,0807,538.19,Fallback_0068,lng_terminal,NONE,WILDFIRE,55,MEDIUM
8.50076,80.82803,336.75,0.4,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,297.56,5.8,D,n,0803,482.2,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
8.16733,81.324,336.64,0.42,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,297.52,6.69,D,n,0803,530.94,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
8.261,81.33814,335.92,0.52,0.5,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,297.68,5.49,D,n,0822,521.39,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
16.40067,79.36681,335.24,0.55,0.51,2026-08-26,729,N21,VIIRS,70.0,2.0NRT,293.52,8.29,D,n,0729,131.79,Fallback_0067,mining,DISTANT,WILDFIRE,55,MEDIUM
8.06663,81.23905,335.24,0.54,0.68,2026-08-22,839,N21,VIIRS,70.0,2.0NRT,279.87,7.58,D,n,0839,539.25,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
8.05551,80.34129,335.09,0.47,0.64,2026-08-22,839,N21,VIIRS,70.0,2.0NRT,283.89,7.29,D,n,0839,524.37,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
8.96568,80.82936,335.05,0.49,0.48,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,292.68,7.57,D,n,0822,431.64,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
8.83193,80.54458,334.84,0.4,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,296.25,6.74,D,n,0803,440.86,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
9.23661,80.67361,334.78,0.48,0.48,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,295.78,6.97,D,n,0822,398.76,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
30.64766,73.95101,334.29,0.62,0.54,2026-08-26,731,N21,VIIRS,70.0,2.0NRT,299.95,6.69,D,n,0731,415.81,Fallback_0079,chemical,NONE,WILDFIRE,55,MEDIUM
15.62259,79.18162,334.29,0.59,0.53,2026-08-26,729,N21,VIIRS,70.0,2.0NRT,292.53,6.57,D,n,0729,204.56,Fallback_0009,power_plant,NONE,WILDFIRE,55,MEDIUM
8.41145,80.25195,334.2,0.39,0.36,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,296.32,5.44,D,n,0803,484.32,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
29.76867,72.26379,333.72,0.41,0.6,2026-08-26,731,N21,VIIRS,70.0,2.0NRT,297.6,6.15,D,n,0731,489.68,Fallback_0032,power_plant,NONE,WILDFIRE,55,MEDIUM
8.51818,80.62943,333.28,0.4,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,287.89,6.3,D,n,0803,476.65,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
8.04678,80.63174,333.04,0.4,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,294.41,5.28,D,n,0803,528.53,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
8.23048,80.7622,332.97,0.62,0.54,2026-08-26,726,N21,VIIRS,70.0,2.0NRT,287.73,8.01,D,n,0726,510.46,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
23.64585,85.43987,332.83,0.42,0.46,2026-08-22,703,N21,VIIRS,70.0,2.0NRT,289.32,8.73,D,n,0703,113.76,Fallback_0074,lng_terminal,DISTANT,WILDFIRE,55,MEDIUM
30.65028,73.94928,332.22,0.62,0.54,2026-08-26,731,N21,VIIRS,70.0,2.0NRT,299.86,6.71,D,n,0731,416.13,Fallback_0079,chemical,NONE,WILDFIRE,55,MEDIUM
8.04625,80.62816,331.83,0.4,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,293.75,5.95,D,n,0803,528.54,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
8.22948,80.75656,331.79,0.62,0.54,2026-08-26,726,N21,VIIRS,70.0,2.0NRT,286.42,8.01,D,n,0726,510.47,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
32.09447,73.06223,331.72,0.61,0.54,2026-08-22,848,N21,VIIRS,70.0,2.0NRT,295.9,5.63,D,n,0848,592.46,Fallback_0079,chemical,NONE,WILDFIRE,55,MEDIUM
8.4115,81.06059,331.68,0.59,0.53,2026-08-26,726,N21,VIIRS,70.0,2.0NRT,288.35,5.23,D,n,0726,497.31,Fallback_0065,refinery,NONE,WILDFIRE,55,MEDIUM
